"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"SLC2A1",22.962970426944,94.2781690140845,"SLC2A1","MG",2.15533947937545
"SLC2A2",0.0180959446610607,1.12235915492958,"SLC2A2","MG",0.936418334847338
"SLC2A5",0.00190918902029924,0.110035211267606,"SLC2A5","MG",-0.49528758702792
"SLC2A6",0,0,"SLC2A6","MG",NA
"SLC2A10",0.150852213447787,10.5193661971831,"SLC2A10","MG",2.02520555520878
"SLC2A12",0.0145434082291979,1.01232394366197,"SLC2A12","MG",-0.8289780342679
"SLC5A1",0.00305472252735082,0.286091549295775,"SLC5A1","MG",-0.668408106983073
"SLC16A1",33.0762491670056,98.7896126760563,"SLC16A1","MG",2.26228890561887
"SLC16A3",2.80392654233761,75.7922535211268,"SLC16A3","MG",-1.0030541372873
"SLC16A7",0.137504089699772,8.18661971830986,"SLC16A7","MG",-0.894728904930766
"SLC16A8",0.168186512375713,4.59947183098592,"SLC16A8","MG",-0.723103087842572
"SLC5A8",0,0,"SLC5A8","MG",-0.629997471997673
"SLC5A12",0.0428336923377675,3.76320422535211,"SLC5A12","MG",0.884225438527665
"PCK1",0.000570426185938835,0.0220070422535211,"PCK1","MG",1.19454603132469
"FBP1",0.00328389290488773,0.242077464788732,"FBP1","MG",-0.649039809909473
"SLC2A11",1.8874963628944,26.1561338289963,"SLC2A1","BC",-0.609063718838462
"SLC2A21",0.00689988324299093,0.118959107806691,"SLC2A2","BC",-0.369530122447564
"SLC2A51",0.00182436669320897,0.0371747211895911,"SLC2A5","BC",-0.499771423748527
"SLC2A61",0,0,"SLC2A6","BC",NA
"SLC2A101",0.0080960064491317,0.12639405204461,"SLC2A10","BC",-0.56760623434535
"SLC2A121",0.0516344282978408,1.00371747211896,"SLC2A12","BC",-0.160557039413231
"SLC5A11",0.00232468214406611,0.0520446096654275,"SLC5A1","BC",-0.79593486501832
"SLC16A11",0.323255434298476,4.35687732342007,"SLC16A1","BC",-0.292036709201303
"SLC16A31",6.3532636569672,59.5018587360595,"SLC16A3","BC",1.05806236890983
"SLC16A71",0.157999804907687,2.46096654275093,"SLC16A7","BC",-0.845449373460206
"SLC16A81",0.287027013294286,3.49442379182156,"SLC16A8","BC",-0.62931243447157
"SLC5A81",0.000391442484551369,0.0148698884758364,"SLC5A8","BC",-0.548932283731413
"SLC5A121",0.0452082379961822,0.921933085501859,"SLC5A12","BC",0.992843095266277
"PCK11",0.00072148900901681,0.00743494423791822,"PCK1","BC",1.6810939992451
"FBP11",0.00465697344356111,0.0817843866171004,"FBP1","BC",-0.626388295964779
"SLC2A13",1.81141817415315,27.6289682539683,"SLC2A1","AC",-0.643944397577693
"SLC2A22",0.00806531432831614,0.248015873015873,"SLC2A2","AC",-0.232914750564837
"SLC2A52",0.014468345078285,0.223214285714286,"SLC2A5","AC",0.164453908135622
"SLC2A62",0,0,"SLC2A6","AC",NA
"SLC2A102",0.0167058682812474,0.248015873015873,"SLC2A10","AC",-0.401111565129261
"SLC2A122",0.0425065565270256,1.19047619047619,"SLC2A12","AC",-0.322838426099096
"SLC5A13",0.00355152073847672,0.0744047619047619,"SLC5A1","AC",-0.581678208286108
"SLC16A12",0.277131582306803,2.85218253968254,"SLC16A1","AC",-0.319933596835626
"SLC16A32",5.04205398619727,51.8105158730159,"SLC16A3","AC",0.443895532231188
"SLC16A72",0.792934154657347,13.7152777777778,"SLC16A7","AC",0.360918244946506
"SLC16A82",0.72807917944652,7.63888888888889,"SLC16A8","AC",-0.344040540920698
"SLC5A82",0.0022159615773645,0.0496031746031746,"SLC5A8","AC",-0.171504267960166
"SLC5A122",0.00858560178102751,0.248015873015873,"SLC5A12","AC",-0.710482710758146
"PCK12",0,0,"PCK1","AC",-0.64336349089478
"FBP12",0.0370255977882938,1.28968253968254,"FBP1","AC",-0.101188577880207
"SLC2A14",3.58568295746078,66.3792402180103,"SLC2A1","Cone",-0.00481035635505826
"SLC2A23",0.00298490520309207,0.0894818189213373,"SLC2A2","Cone",-0.829616302437115
"SLC2A53",0.00399956289295878,0.105751240543399,"SLC2A5","Cone",-0.384907043131242
"SLC2A63",0,0,"SLC2A6","Cone",NA
"SLC2A103",0.0698452264203638,2.80647522980558,"SLC2A10","Cone",0.596279028790681
"SLC2A123",0.0345239448940451,1.35849670544212,"SLC2A12","Cone",-0.465927545348562
"SLC5A14",0.00170166738082599,0.0813471081103067,"SLC5A1","Cone",-0.90483938135645
"SLC16A13",0.0670249157128274,1.45611323517449,"SLC16A1","Cone",-0.461266374052946
"SLC16A33",2.5859517484859,51.0534450500285,"SLC16A3","Cone",-1.18758514372856
"SLC16A73",2.15218088641312,45.9204425282681,"SLC16A7","Cone",1.91797591249595
"SLC16A83",11.7474006974044,88.6846172618563,"SLC16A8","Cone",1.59050611381807
"SLC5A83",0.000115304192927423,0.00813471081103067,"SLC5A8","Cone",-0.6061154284102
"SLC5A123",0.0052686300863911,0.276580167575043,"SLC5A12","Cone",-0.867798770126874
"PCK13",0.000105865575364825,0.00813471081103067,"PCK1","Cone",-0.302186066990664
"FBP13",0.00181105378222266,0.0569429756772147,"FBP1","Cone",-0.673371513690903
"SLC2A15",1.95602386692497,37.4704801889268,"SLC2A1","HC",-0.578422828669664
"SLC2A24",0.00272526092313755,0.104959328260299,"SLC2A2","HC",-0.860193033816593
"SLC2A54",0.000928514935069852,0.0262398320650748,"SLC2A5","HC",-0.547150696604621
"SLC2A64",0,0,"SLC2A6","HC",NA
"SLC2A104",0.000977660405594653,0.0524796641301496,"SLC2A10","HC",-0.70633582985322
"SLC2A124",0.175503938547883,3.64733665704539,"SLC2A12","HC",1.91229346688761
"SLC5A15",0.00853427217909355,0.236158488585673,"SLC5A1","HC",0.285831977346884
"SLC16A14",0.0919981295988495,1.15455261086329,"SLC16A1","HC",-0.443075266156758
"SLC16A34",6.24026106899512,68.8795591708213,"SLC16A3","HC",1.00963272967151
"SLC16A74",0.56473865884663,13.5397533455786,"SLC16A7","HC",-0.0147536221286509
"SLC16A84",0.241979354735805,3.75229598530569,"SLC16A8","HC",-0.66380401382484
"SLC5A84",0,0,"SLC5A8","HC",-0.629997471997673
"SLC5A124",0.00583782831068844,0.236158488585673,"SLC5A12","HC",-0.840766194889408
"PCK14",0,0,"PCK1","HC",-0.64336349089478
"FBP14",0.166291854417489,3.25373917606927,"FBP1","HC",1.84443671186903
"SLC2A16",4.13603580267321,74.2899850523169,"SLC2A1","Rod",0.143255134941051
"SLC2A25",0.00613771822955582,0.597907324364723,"SLC2A2","Rod",-0.458958965946463
"SLC2A55",0.003009398652933,0.149476831091181,"SLC2A5","Rod",-0.437163208615786
"SLC2A65",0,0,"SLC2A6","Rod",NA
"SLC2A105",0.0253503396545599,1.64424514200299,"SLC2A10","Rod",-0.235360086906018
"SLC2A125",0.0121373192284048,0.747384155455904,"SLC2A12","Rod",-0.873178709098666
"SLC5A16",0.0160555135436283,0.149476831091181,"SLC5A1","Rod",1.5872159335693
"SLC16A15",0.10678658364155,3.43796711509716,"SLC16A1","Rod",-0.432498102183175
"SLC16A35",2.8890848920813,58.1464872944694,"SLC16A3","Rod",-0.933819573411814
"SLC16A75",0.185459365555501,5.68011958146487,"SLC16A7","Rod",-0.78077591951153
"SLC16A85",8.49925759477847,88.3408071748879,"SLC16A8","Rod",1.3057781276591
"SLC5A85",0.00561942974027002,0.149476831091181,"SLC5A8","Rod",0.530719333915052
"SLC5A125",0.00756641813468423,0.597907324364723,"SLC5A12","Rod",-0.758765031981484
"PCK15",0,0,"PCK1","Rod",-0.64336349089478
"FBP15",0,0,"FBP1","Rod",-0.703339699746483
"SLC2A17",2.23068762450031,37.2681281618887,"SLC2A1","RGC",-0.462353312875629
"SLC2A26",0.0256963190869258,1.01180438448567,"SLC2A2","RGC",1.81479484036523
"SLC2A56",0.0542153948974143,1.01180438448567,"SLC2A5","RGC",2.19982605099247
"SLC2A66",0,0,"SLC2A6","RGC",NA
"SLC2A106",0.00073559024680892,0.168634064080944,"SLC2A10","RGC",-0.711070867765612
"SLC2A126",0.103711768011356,2.36087689713322,"SLC2A12","RGC",0.739186287339847
"SLC5A17",0.0131048015131085,0.337268128161889,"SLC5A1","RGC",1.07781265072776
"SLC16A16",0.287658603874153,3.37268128161889,"SLC16A1","RGC",-0.313478857189068
"SLC16A36",5.37751577593524,54.8060708263069,"SLC16A3","RGC",0.612868223615141
"SLC16A76",0.726555559137306,16.0202360876897,"SLC16A7","RGC",0.256813662588701
"SLC16A86",0.417221599325716,5.05902192242833,"SLC16A8","RGC",-0.53602416441749
"SLC5A86",0.0130510364909418,0.337268128161889,"SLC5A8","RGC",2.05582759018207
"SLC5A126",0.0519688478949256,1.5177065767285,"SLC5A12","RGC",1.30074417396197
"PCK16",0,0,"PCK1","RGC",-0.64336349089478
"FBP16",0.102238483369435,3.035413153457,"FBP1","RGC",0.908891185322815
