"","animal_id","choroid.po2","min.ret.po2"
"23","tgut13",51.05306244,-0.295099559234514
"25","tgut15",40.08734512,-0.0560272184154851
"26","tgut28",77.22562408,-0.106464392485431
"27","tgut31",78.18469238,-0.0373947637534555
"28","tgut32",85.21305847,0.25224489
"29","tgut35",61.18285751,-1.22102046
"30","tgut36",49.39326477,0.259591848
"31","tgut37",77.38938904,-0.0704613910309093
"32","tgut38",53.31245041,1.743061185
"33","tgut39",42.99306107,-0.206485819200847
"35","tgut41",69.48306274,-0.0868469863882305
"36","tgut42",339.1648865,63.70122528
"38","tgut44",337.0808105,159.5895844
"40","tgut47",412.5255127,134.2467346
"41","tgut48_V",164.6408234,28.93979645
"44","tgut49_H",98.29239655,-0.166583137192461
"46","tgut50_H",439.9271545,127.9232635
