"","sp","Item.ID","choroidflux..umol.sec.","pectenflux..umol.sec.","choroid.fraction","pecten.fraction"
"1","finch","tgut13",7.17192,0.01465194,0.997961201,0.002038799
"2","finch","tgut15",6.14028,0.0269274,0.995633761,0.004366239
"3","finch","tgut28",6.68502,0.04637928,0.993109978,0.006890022
"4","finch","tgut31",5.850936,0.0289269,0.995080345,0.004919655
"5","finch","tgut32",9.2457,0.01225788,0.998675961,0.001324039
"6","finch","tgut35",10.08312,0.01942698,0.998077026,0.001922974
"7","finch","tgut36",3.775536,0.02567304,0.993246086,0.006753914
"8","finch","tgut37",3.029208,0.0331512,0.989174622,0.010825378
"9","finch","tgut38",4.41069,0.1112604,0.975395501,0.024604499
"10","finch","tgut39",4.095246,0.075477,0.981903116,0.018096884
"11","finch","tgut41",7.33716,0.01199118,0.998368361,0.001631639
"12","chicken","ggal10",6.79332,0.2774718,0.96075821,0.03924179
"13","chicken","ggal11",4.087968,0.1197066,0.971550363,0.028449637
"14","chicken","ggal14",3.763446,0.14184,0.96368004,0.03631996
"15","chicken","ggal15",2.2953,0.1843518,0.925654092,0.074345908
"16","pigeon","cliv14",10.96038,1.1808,0.902744212,0.097255788
"17","pigeon","cliv15",10.31568,0.5250042,0.951570944,0.048429056
"18","pigeon","cliv16",8.51202,0.1348764,0.98440182,0.01559818
"19","pigeon","cliv17",14.12262,0.3851886,0.973449575,0.026550425
"20","pigeon","cliv18",4.899624,0.361308,0.931322455,0.068677545
"21","crocodile","ccro01",37.16088,-0.451734,1.012305751,-0.012305751
"22","crocodile","clat03",31.50156,-0.714114,1.023195051,-0.023195051
"23","turtle","mree10",0.832926,0.01585008,0.981325944,0.018674056
"24","turtle","mree11",0.634992,0.01746108,0.973237717,0.026762283
"25","anole","acar04",0.932772,0.0201108,0.978894759,0.021105241
"26","anole","acar10",0.51642,-0.0379212,1.079250365,-0.079250365
